college_code,college_name,major_group_code,subject_requirement,min_score,source_image,status,estimated_cumulative_rank_from_score_distribution,rank_source,rank_status
3344,天津医科大学临床医学院,500,选考化学,488,,visual_ocr_needs_spotcheck,79451,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3344,天津医科大学临床医学院,516,选考化学且生物学,524,,visual_ocr_needs_spotcheck,51599,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3344,天津医科大学临床医学院,999,不限选考科目,482,,visual_ocr_needs_spotcheck,84464,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3346,天津职业技术师范大学,500,选考化学,508,,visual_ocr_needs_spotcheck,63376,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3346,天津职业技术师范大学,999,不限选考科目,489,,visual_ocr_needs_spotcheck,78616,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3347,天津职业技术师范大学(中外合作),500,选考化学,499,,visual_ocr_needs_spotcheck,70339,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3348,天津中德应用技术大学,500,选考化学,519,,visual_ocr_needs_spotcheck,55133,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3348,天津中德应用技术大学,999,不限选考科目,503,,visual_ocr_needs_spotcheck,67246,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3349,天津中医药大学,500,选考化学,555,,visual_ocr_needs_spotcheck,32381,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3350,天津中医药大学(中外合作),500,选考化学,544,,visual_ocr_needs_spotcheck,38598,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3351,通化师范学院,500,选考化学,486,,visual_ocr_needs_spotcheck,81079,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3352,通化师范学院(中外合作),500,选考化学,467,,visual_ocr_needs_spotcheck,97377,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3353,同济大学,500,选考化学,656,,visual_ocr_needs_spotcheck,1271,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3354,同济大学（技术科学试验班）,500,选考化学,650,,visual_ocr_needs_spotcheck,1821,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3355,同济大学（医学类）,500,选考化学,646,,visual_ocr_needs_spotcheck,2277,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3356,同济大学（中外合作）,500,选考化学,646,,visual_ocr_needs_spotcheck,2277,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3357,铜陵学院,500,选考化学,496,,visual_ocr_needs_spotcheck,72818,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3358,铜仁学院,500,选考化学,496,,visual_ocr_needs_spotcheck,72818,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3359,铜仁学院（中外合作）,500,选考化学,469,,visual_ocr_needs_spotcheck,95545,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3361,皖江工学院,500,选考化学,461,,visual_ocr_needs_spotcheck,102421,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3364,潍坊学院,500,选考化学,495,,visual_ocr_needs_spotcheck,73670,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3364,潍坊学院,516,选考化学且生物学,489,,visual_ocr_needs_spotcheck,78616,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3364,潍坊学院,999,不限选考科目,496,,visual_ocr_needs_spotcheck,72818,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3365,渭南师范学院,500,选考化学,490,,visual_ocr_needs_spotcheck,77780,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3367,文华学院,500,选考化学,469,,visual_ocr_needs_spotcheck,95545,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3367,文华学院,999,不限选考科目,464,,visual_ocr_needs_spotcheck,99902,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3368,文山学院,500,选考化学,488,,visual_ocr_needs_spotcheck,79451,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
